Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
Acorns,AdaBoost,1,"{'base_estimator__ccp_alpha': 0.0518152548941889, 'n_estimators': 5}",0.032203697,0.151020408,0.13835034,-0.012509523,-0.012451324,1.191748996,0.001116981
Acorns,Boruta,1,"{'ccp_alpha': 0.00957889530150502, 'n_estimators': 8}",0.035851193,0.139400422,0.084503437,-0.127189678,-0.032437246,46.14409071,0.001233047
Acorns,Cobra,1,"{'epsilon': 0.18510338345864677, 'machine_list': 'basic')",0.029305536,0.130646008,0.097601541,0.078610944,0.098171328,20.83333758,9.722364085
Acorns,Ewa,1,"{'beta': 0.001, 'machine_list': 'basic')",0.045443494,0.149570159,0.097647243,-0.428779154,-0.197536776,6.825271638,0.012829778
Acorns,AdaBoost,2,"{'base_estimator__ccp_alpha': 0.023608897695197608, 'n_estimators': 6}",0.211729893,0.337755102,0.208333333,-0.648514342,0,0.78561801,0.000723021
Acorns,Boruta,2,"{'ccp_alpha': 0.009325573593386588, 'n_estimators': 14}",0.218531569,0.343531341,0.210872206,-0.701471721,0,45.96542736,0.001679024
Acorns,Cobra,2,"{'epsilon': 0.287593984962406, 'machine_list': 'basic')",0.227294717,0.360819328,0.260504202,-0.76970099,-0.027983057,20.06152007,9.727958706
Acorns,Ewa,2,"{'beta': 100.0, 'machine_list': 'basic')",0.253337616,0.308723966,0.120171691,-0.972469203,-0.255032574,6.824567001,0.011852501
Acorns,AdaBoost,3,"{'base_estimator__ccp_alpha': 0.00983468338330501, 'n_estimators': 8}",0.019499193,0.138435245,0.132922078,-0.340058398,-0.017077832,1.043266335,0.001534105
Acorns,Boruta,3,"{'ccp_alpha': 0.009325573593386588, 'n_estimators': 14}",0.01708305,0.130325368,0.124794461,-0.174011862,0.045967627,45.96055405,0.00172696
Acorns,Cobra,3,"{'epsilon': 0.5238095238095237, 'machine_list': 'basic')",0.026587423,0.156762566,0.161739418,-0.827188375,0.034180434,20.08406554,9.736504558
Acorns,Ewa,3,"{'beta': 0.001, 'machine_list': 'basic')",0.028279848,0.155869047,0.154732906,-0.943498239,-0.763559522,6.817779461,0.012593144
Acorns,AdaBoost,4,"{'base_estimator__ccp_alpha': 0.07159705159683642, 'n_estimators': 12}",0.030233214,0.166284014,0.186734694,-1.095600294,0,1.256573382,0.000721446
Acorns,Boruta,4,"{'ccp_alpha': 0.009355390708060319, 'n_estimators': 25}",0.039507486,0.182441592,0.191504543,-1.738441864,-0.806550849,45.97379621,0.002808147
Acorns,Cobra,4,"{'epsilon': 0.5432330827067668, 'machine_list': 'advanced')",0.023206399,0.149942616,0.154051899,-0.608540083,0.023570421,20.16626116,9.733675066
Acorns,Ewa,4,"{'beta': 10.0, 'machine_list': 'basic')",0.014774283,0.086019817,0.057442871,-0.024072079,0.030961848,6.846798428,0.012029844
Acorns,AdaBoost,5,"{'base_estimator__ccp_alpha': 0.030233257263183978, 'n_estimators': 84}",0.050895049,0.20233631,0.189217687,0.134922097,0.137847301,1.101273393,0.002002303
Acorns,Boruta,5,"{'ccp_alpha': 0.009355390708060319, 'n_estimators': 25}",0.068741237,0.220804563,0.155894841,-0.168414746,0.007017964,45.97608459,0.002715298
Acorns,Cobra,5,"{'epsilon': 0.5238095238095237, 'machine_list': 'basic')",0.060624571,0.223214286,0.180886243,-0.030453418,1.11E-16,20.12164844,9.735847875
Acorns,Ewa,5,"{'beta': 100.0, 'machine_list': 'basic')",0.09599204,0.248750281,0.238497152,-0.631604539,-0.205829682,6.912864574,0.012166375
Acorns,AdaBoost,6,"{'base_estimator__ccp_alpha': 0.05245481595728714, 'n_estimators': 33}",0.013667513,0.102937371,0.107401656,-3.44991366,0,1.061580552,0.001676045
Acorns,Boruta,6,"{'ccp_alpha': 0.00878142503429413, 'n_estimators': 35}",0.00602175,0.072813514,0.071222267,-0.960581113,0.008193485,45.98257841,0.003670554
Acorns,Cobra,6,"{'epsilon': 0.6071428571428571, 'machine_list': 'advanced')",0.012880532,0.099041005,0.103505291,-3.193685635,0,20.09179124,9.739683639
Acorns,Ewa,6,"{'beta': 1.0, 'machine_list': 'basic')",0.003373354,0.052110267,0.045876553,-0.098307767,0.040996393,6.833931057,0.012593568
Acorns,AdaBoost,7,"{'base_estimator__ccp_alpha': 0.041702200470257404, 'n_estimators': 17}",0.026722445,0.145408163,0.169642857,-0.324344663,-0.141146011,1.336794405,0.003134673
Acorns,Boruta,7,"{'ccp_alpha': 0.00878142503429413, 'n_estimators': 35}",0.02729981,0.145904705,0.127788399,-0.352958436,-0.336693058,45.98768555,0.003651853
Acorns,Cobra,7,"{'epsilon': 0.5238095238095237, 'machine_list': 'basic')",0.023450732,0.138723545,0.169642857,-0.162200978,0,20.17905751,9.726222761
Acorns,Ewa,7,"{'beta': 0.001, 'machine_list': 'basic')",0.026780899,0.14556362,0.126529822,-0.327241626,-0.309287027,6.844099591,0.012059641
Acorns,AdaBoost,8,"{'base_estimator__ccp_alpha': 0.05245481595728714, 'n_estimators': 33}",0.017641025,0.122967156,0.104931973,-0.154718743,-0.123723179,1.247142611,0.001381238
Acorns,Boruta,8,"{'ccp_alpha': 0.009325573593386588, 'n_estimators': 14}",0.026517746,0.147986823,0.13789795,-0.735757305,-0.279551439,45.95724727,0.001713095
Acorns,Cobra,8,"{'epsilon': 0.5238095238095237, 'machine_list': 'basic')",0.015985979,0.105654762,0.101190476,-0.046385323,0,20.0798175,9.791121625
Acorns,Ewa,8,"{'beta': 0.001, 'machine_list': 'basic')",0.047306251,0.193858905,0.211347021,-2.096498946,-1.752084644,6.813609542,0.012633483
Acorns,AdaBoost,9,"{'base_estimator__ccp_alpha': 0.023608897695197608, 'n_estimators': 6}",0.029029672,0.16505102,0.174914966,-10.18543986,0.311129066,0.986671568,0.001089291
Acorns,Boruta,9,"{'ccp_alpha': 0.008296033593941836, 'n_estimators': 47}",0.013987871,0.104135572,0.107697416,-4.389674851,-0.21128318,45.99880055,0.004818767
Acorns,Cobra,9,"{'epsilon': 0.26983753537844646, 'machine_list': 'basic')",0.028154738,0.158296131,0.16468254,-9.848318402,-0.193334933,20.16229414,9.726032042
Acorns,Ewa,9,"{'beta': 0.001, 'machine_list': 'basic')",0.005477088,0.070930508,0.072228694,-1.110379837,0.828170458,6.810545741,0.012518487
Acorns,AdaBoost,10,"{'base_estimator__ccp_alpha': 0.00983468338330501, 'n_estimators': 8}",0.024045479,0.153384039,0.14360119,-12.39459724,0.710992494,1.087566854,0.001408557
Acorns,Boruta,10,"{'ccp_alpha': 0.009355390708060319, 'n_estimators': 25}",0.029185725,0.141308497,0.07945965,-15.25798503,-4.13470716,45.9757742,0.002781826
Acorns,Cobra,10,"{'epsilon': 0.2983783470913938, 'machine_list': 'basic')",0.0233186,0.146708683,0.12289916,-11.98968767,2.22E-16,20.23420266,9.729541158
Acorns,Ewa,10,"{'beta': 0.001, 'machine_list': 'basic')",0.005870679,0.068605656,0.047869578,-2.270276977,0.351622728,6.810936118,0.012523665
Admission_Predict_kaggle,AdaBoost,1,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.012230666,0.088978806,0.077664399,0.808353767,0.81262457,2.095804663,0.005225583
Admission_Predict_kaggle,Boruta,1,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.014882757,0.086964299,0.065981442,0.766797286,0.773382959,78.83208401,0.001562088
Admission_Predict_kaggle,Cobra,1,"{'epsilon': 0.14906445737406493, 'machine_list': 'basic')",0.012781941,0.075948157,0.051802968,0.799715654,0.819544778,98.19566101,12.54081249
Admission_Predict_kaggle,Ewa,1,"{'beta': 0.001, 'machine_list': 'basic')",0.010801982,0.078985512,0.058558494,0.830740269,0.831738335,7.793773964,0.020428346
Admission_Predict_kaggle,AdaBoost,2,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.015685176,0.101663683,0.087463649,0.700541321,0.709661663,2.038692099,0.007615563
Admission_Predict_kaggle,Boruta,2,"{'ccp_alpha': 0.0022957721372982554, 'n_estimators': 19}",0.017393009,0.096097494,0.068905776,0.667935669,0.674664904,78.64453137,0.002330895
Admission_Predict_kaggle,Cobra,2,"{'epsilon': 0.11165239995302188, 'machine_list': 'advanced')",0.017420986,0.08850169,0.046422273,0.667401545,0.701505011,98.47122637,12.50975701
Admission_Predict_kaggle,Ewa,2,"{'beta': 0.001, 'machine_list': 'basic')",0.014817444,0.08997926,0.058713774,0.717107916,0.717293719,7.80343662,0.019204868
Admission_Predict_kaggle,AdaBoost,3,"{'base_estimator__ccp_alpha': 0.00983468338330501, 'n_estimators': 8}",0.014056467,0.097626091,0.087314066,0.748788642,0.782637802,2.080161005,0.001510294
Admission_Predict_kaggle,Boruta,3,"{'ccp_alpha': 0.0023608897695197605, 'n_estimators': 6}",0.009921566,0.077437488,0.067901407,0.822685875,0.823139729,78.62590271,0.000998652
Admission_Predict_kaggle,Cobra,3,"{'epsilon': 0.1636822829164036, 'machine_list': 'basic')",0.010747293,0.075088787,0.048974428,0.807928835,0.808990668,98.31659994,12.5290642
Admission_Predict_kaggle,Ewa,3,"{'beta': 0.001, 'machine_list': 'basic')",0.011207338,0.082506636,0.05993096,0.799707089,0.825536234,7.804543438,0.019054041
Admission_Predict_kaggle,AdaBoost,4,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.017446984,0.098415772,0.073731337,0.679670265,0.68156245,2.24980677,0.002325119
Admission_Predict_kaggle,Boruta,4,"{'ccp_alpha': 0.0031342417815924286, 'n_estimators': 27}",0.018060348,0.09732389,0.070853115,0.668408796,0.693799967,78.66216148,0.003129902
Admission_Predict_kaggle,Cobra,4,"{'epsilon': 0.1601050269523865, 'machine_list': 'basic')",0.018717768,0.09681052,0.07179168,0.656338456,0.723085323,98.35370894,12.58179704
Admission_Predict_kaggle,Ewa,4,"{'beta': 0.001, 'machine_list': 'basic')",0.013703973,0.082980922,0.049608897,0.748392616,0.75849768,7.83143969,0.018895637
Admission_Predict_kaggle,AdaBoost,5,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.013367306,0.094316033,0.074979925,0.77716478,0.809694809,2.299754912,0.009953853
Admission_Predict_kaggle,Boruta,5,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.010415825,0.078583037,0.058302101,0.826366454,0.826463096,78.64364125,0.002278518
